Start Date,End Date,Approving,Disapproving,Unsure/NoData
12/08/1960,12/13/1960,59,28,13
12/06/1960,12/06/1960,68,31,0
11/15/1960,11/15/1960,59,25,14
10/18/1960,10/23/1960,57,31,10
09/26/1960,09/26/1960,64,25,9
09/09/1960,09/14/1960,58,28,13
08/25/1960,08/30/1960,60,28,11
08/09/1960,08/09/1960,63,24,12
07/28/1960,07/28/1960,62,26,11
07/14/1960,07/14/1960,49,33,17
06/28/1960,06/28/1960,57,26,16
06/14/1960,06/14/1960,60,23,15
05/24/1960,05/24/1960,64,21,13
04/26/1960,04/26/1960,61,21,16
03/28/1960,03/28/1960,65,22,12
03/02/1960,03/07/1960,63,22,14
02/04/1960,02/09/1960,63,21,14
01/06/1960,01/11/1960,66,17,15
12/10/1959,12/15/1959,76,15,8
12/03/1959,12/08/1959,66,18,15
11/10/1959,11/10/1959,64,20,14
10/14/1959,10/14/1959,66,19,14
09/16/1959,09/16/1959,66,19,13
07/23/1959,07/28/1959,60,26,13
06/25/1959,06/30/1959,62,23,14
05/29/1959,06/03/1959,63,20,15
04/27/1959,04/27/1959,59,24,15
03/31/1959,03/31/1959,62,22,15
03/04/1959,03/09/1959,58,25,16
02/04/1959,02/09/1959,58,25,15
01/07/1959,01/12/1959,56,27,15
12/03/1958,12/08/1958,56,32,11
11/07/1958,11/12/1958,51,29,18
10/13/1958,10/13/1958,56,26,16
09/24/1958,09/29/1958,53,27,18
09/10/1958,09/15/1958,56,29,14
08/20/1958,08/25/1958,55,26,17
07/30/1958,08/04/1958,57,26,15
07/08/1958,07/08/1958,52,32,15
05/26/1958,05/26/1958,53,31,15
05/07/1958,05/12/1958,51,32,15
04/14/1958,04/14/1958,54,30,15
03/25/1958,03/25/1958,47,35,16
03/04/1958,03/04/1958,50,32,15
02/14/1958,02/19/1958,54,32,0
01/22/1958,01/22/1958,57,27,14
12/31/1957,12/31/1957,60,29,9
11/07/1957,11/12/1957,57,27,14
10/10/1957,10/15/1957,56,26,15
09/19/1957,09/24/1957,57,27,14
08/06/1957,08/06/1957,62,19,17
07/18/1957,07/23/1957,64,22,13
06/25/1957,06/25/1957,63,22,13
06/06/1957,06/11/1957,63,22,14
05/15/1957,05/15/1957,61,22,14
04/25/1957,04/30/1957,62,22,14
04/06/1957,04/11/1957,66,20,12
03/15/1957,03/20/1957,65,19,14
02/28/1957,03/05/1957,71,17,10
02/05/1957,02/12/1957,72,15,11
01/17/1957,01/22/1957,73,13,12
12/14/1956,12/19/1956,77,11,10
11/20/1956,11/20/1956,74,14,10
08/01/1956,08/01/1956,67,19,13
07/10/1956,07/10/1956,69,20,9
06/13/1956,06/13/1956,72,18,8
05/29/1956,05/29/1956,71,18,9
05/08/1956,05/08/1956,69,16,13
03/29/1956,04/03/1956,72,17,10
03/06/1956,03/06/1956,72,17,10
02/14/1956,02/14/1956,74,15,10
01/24/1956,01/24/1956,76,13,8
01/04/1956,01/04/1956,76,11,11
12/06/1955,12/06/1955,74,12,11
11/17/1955,11/22/1955,77,13,9
09/13/1955,09/13/1955,70,16,12
08/23/1955,08/23/1955,70,15,13
08/02/1955,08/02/1955,75,11,13
07/12/1955,07/12/1955,72,17,9
06/22/1955,06/22/1955,67,15,17
06/03/1955,06/08/1955,69,15,14
05/12/1955,05/17/1955,67,16,15
04/14/1955,04/19/1955,69,14,16
03/22/1955,03/22/1955,64,22,12
03/01/1955,03/01/1955,70,16,12
02/10/1955,02/15/1955,72,15,12
01/18/1955,01/18/1955,69,17,13
12/31/1954,01/05/1955,69,17,12
11/30/1954,11/30/1954,68,23,7
11/11/1954,11/16/1954,57,23,18
10/13/1954,10/13/1954,61,25,12
09/16/1954,09/21/1954,65,21,12
08/24/1954,08/24/1954,61,22,15
08/03/1954,08/03/1954,67,18,13
07/16/1954,07/21/1954,74,20,5
06/30/1954,06/30/1954,64,21,14
06/12/1954,06/17/1954,61,23,13
05/21/1954,05/26/1954,61,23,14
04/08/1954,04/13/1954,68,21,9
04/03/1954,04/03/1954,60,22,16
03/17/1954,03/17/1954,64,22,11
02/23/1954,02/23/1954,66,21,12
01/26/1954,01/26/1954,70,17,11
01/07/1954,01/07/1954,70,18,10
12/09/1953,12/09/1953,68,21,9
11/01/1953,11/05/1953,61,25,13
10/09/1953,10/14/1953,64,19,16
09/12/1953,09/17/1953,60,20,17
08/15/1953,08/20/1953,73,14,0
07/23/1953,07/23/1953,72,12,14
05/09/1953,05/14/1953,73,10,15
04/19/1953,04/24/1953,73,10,17
03/28/1953,04/02/1953,73,7,18
02/20/1953,02/20/1953,66,7,25
02/01/1953,02/05/1953,68,7,25
