Start Date,End Date,Approving,Disapproving,Unsure/NoData
12/15/1943,12/15/1943,65,23,10
03/24/1943,03/24/1943,71,19,8
01/27/1943,01/27/1943,75,16,7
01/07/1943,01/07/1943,75,14,9
11/17/1942,11/17/1942,72,18,8
09/03/1942,09/03/1942,74,18,6
08/13/1942,08/13/1942,74,16,8
07/01/1942,07/01/1942,79,12,8
06/09/1942,06/09/1942,77,15,6
03/12/1942,03/17/1942,75,14,9
03/12/1942,03/17/1942,74,15,9
02/23/1942,02/28/1942,78,13,7
01/23/1942,01/23/1942,83,10,5
09/17/1941,09/17/1941,70,24,5
09/09/1941,09/09/1941,70,23,6
08/26/1941,08/26/1941,67,24,7
08/19/1941,08/19/1941,65,26,7
08/05/1941,08/05/1941,68,23,7
07/29/1941,07/29/1941,65,25,8
07/22/1941,07/22/1941,69,24,6
