Start Date,End Date,Approving,Disapproving,Unsure/NoData
01/01/1969,01/06/1969,49,37,14
12/05/1968,12/10/1968,44,43,12
11/09/1968,11/14/1968,43,44,12
09/26/1968,10/01/1968,41,50,7
08/07/1968,08/12/1968,34,52,13
07/16/1968,07/16/1968,39,47,12
06/26/1968,07/01/1968,39,47,13
06/13/1968,06/18/1968,42,44,12
05/23/1968,05/28/1968,40,45,13
05/02/1968,05/07/1968,46,42,11
04/04/1968,04/09/1968,50,37,12
02/22/1968,02/27/1968,41,48,10
02/02/1968,02/06/1968,40,46,12
01/04/1968,01/09/1968,48,38,12
12/07/1967,12/12/1967,44,40,14
11/16/1967,11/21/1967,41,45,12
10/27/1967,11/01/1967,40,47,12
10/06/1967,10/11/1967,37,50,11
09/14/1967,09/19/1967,37,47,15
08/24/1967,08/29/1967,38,48,13
08/03/1967,08/08/1967,39,47,13
07/13/1967,07/18/1967,46,39,14
06/22/1967,06/27/1967,50,35,13
06/02/1967,06/07/1967,43,39,16
05/11/1967,05/16/1967,41,39,18
04/19/1967,04/24/1967,48,36,14
03/30/1967,04/04/1967,45,38,15
03/09/1967,03/14/1967,44,41,14
02/16/1967,02/21/1967,44,42,12
01/26/1967,01/31/1967,45,36,17
01/07/1967,01/12/1967,46,37,16
12/08/1966,12/13/1966,43,46,10
11/10/1966,11/15/1966,48,35,16
10/21/1966,10/26/1966,44,40,14
09/30/1966,10/06/1966,44,41,13
08/18/1966,08/23/1966,46,38,14
07/29/1966,08/03/1966,51,38,10
07/08/1966,07/13/1966,55,30,13
06/16/1966,06/21/1966,48,38,13
05/19/1966,05/24/1966,50,32,16
05/05/1966,05/10/1966,46,33,20
04/14/1966,04/19/1966,53,33,13
03/01/1966,03/30/1966,57,27,14
03/22/1966,03/22/1966,56,28,14
02/10/1966,02/15/1966,55,34,10
01/21/1966,01/26/1966,61,26,12
12/31/1965,01/05/1966,59,23,17
12/11/1965,12/16/1965,63,25,10
11/16/1965,11/16/1965,62,22,15
10/29/1965,11/02/1965,64,21,13
10/08/1965,10/13/1965,65,21,12
09/16/1965,09/21/1965,63,23,13
08/27/1965,09/01/1965,63,24,11
08/05/1965,08/10/1965,65,22,12
07/16/1965,07/21/1965,65,19,14
06/24/1965,06/29/1965,65,20,13
06/04/1965,06/09/1965,68,18,12
05/13/1965,05/18/1965,70,17,12
04/23/1965,04/28/1965,63,22,14
04/02/1965,04/07/1965,66,21,11
03/16/1965,03/16/1965,69,20,10
02/19/1965,02/24/1965,68,17,13
01/28/1965,02/02/1965,70,14,15
01/07/1965,01/12/1965,70,15,13
11/20/1964,11/25/1964,68,18,13
06/25/1964,06/30/1964,73,14,11
06/11/1964,06/16/1964,74,13,11
06/02/1964,06/02/1964,73,12,13
05/20/1964,05/20/1964,73,13,12
05/04/1964,05/04/1964,75,10,14
04/24/1964,04/29/1964,74,10,14
03/27/1964,04/02/1964,75,11,12
03/13/1964,03/17/1964,77,8,13
02/28/1964,03/05/1964,79,8,11
02/11/1964,02/11/1964,73,8,17
01/30/1964,02/05/1964,75,7,16
01/02/1964,01/07/1964,76,5,17
12/12/1963,12/17/1963,73,4,22
12/05/1963,12/10/1963,77,2,19
