Start Date,End Date,Approving,Disapproving,Unsure/NoData
11/08/1963,11/13/1963,58,30,11
10/09/1963,10/09/1963,58,28,13
09/10/1963,09/10/1963,56,29,14
08/15/1963,08/20/1963,62,25,11
07/18/1963,07/23/1963,60,27,12
05/23/1963,05/28/1963,63,24,11
05/06/1963,05/06/1963,64,23,12
05/02/1963,05/02/1963,63,24,11
04/04/1963,04/09/1963,65,21,13
03/08/1963,03/13/1963,66,19,13
02/07/1963,02/12/1963,70,17,11
01/11/1963,01/16/1963,73,14,12
12/13/1962,12/18/1962,75,13,11
11/16/1962,11/21/1962,72,13,13
10/19/1962,10/24/1962,60,24,14
09/20/1962,09/25/1962,62,22,15
08/23/1962,08/28/1962,67,19,13
07/26/1962,07/31/1962,65,22,11
06/28/1962,07/03/1962,68,19,12
05/29/1962,05/29/1962,70,18,10
05/01/1962,05/01/1962,73,16,10
04/04/1962,04/04/1962,77,12,10
03/06/1962,03/06/1962,79,11,9
02/08/1962,02/13/1962,77,11,11
01/11/1962,01/16/1962,78,9,12
12/05/1961,12/05/1961,76,10,12
11/15/1961,11/15/1961,79,8,12
10/19/1961,10/24/1961,76,12,10
09/19/1961,09/19/1961,78,10,10
08/24/1961,08/29/1961,75,11,12
07/25/1961,07/25/1961,74,11,13
06/21/1961,06/21/1961,71,13,14
05/28/1961,06/02/1961,73,11,15
05/15/1961,05/15/1961,74,10,15
05/04/1961,05/09/1961,77,8,14
04/28/1961,05/03/1961,83,5,12
04/04/1961,04/04/1961,78,6,15
03/10/1961,03/15/1961,72,7,19
02/10/1961,02/15/1961,72,6,22
