Start Date,End Date,Approving,Disapproving,Unsure/NoData
12/11/1952,12/16/1952,32,56,12
12/04/1952,12/04/1952,32,56,11
10/07/1952,10/07/1952,32,55,11
10/03/1952,10/03/1952,30,56,11
10/01/1952,10/01/1952,32,54,11
07/11/1952,07/11/1952,28,58,11
05/28/1952,05/28/1952,30,59,6
05/09/1952,05/09/1952,26,60,12
04/11/1952,04/11/1952,28,60,11
02/09/1952,02/14/1952,22,64,13
01/04/1952,01/04/1952,23,66,9
11/11/1951,11/16/1951,22,60,16
10/12/1951,10/12/1951,27,58,12
08/01/1951,08/01/1951,29,58,10
07/06/1951,07/06/1951,28,56,14
06/14/1951,06/14/1951,24,61,13
05/19/1951,05/24/1951,23,63,12
04/14/1951,04/14/1951,24,54,20
03/24/1951,03/24/1951,26,60,12
03/02/1951,03/02/1951,27,58,14
02/04/1951,02/09/1951,25,58,15
12/01/1950,12/01/1950,33,52,13
10/18/1950,10/18/1950,40,45,13
10/11/1950,10/11/1950,36,48,14
10/06/1950,10/06/1950,42,36,21
09/29/1950,09/29/1950,34,50,14
09/15/1950,09/15/1950,34,47,17
08/18/1950,08/18/1950,42,32,25
07/28/1950,07/28/1950,39,44,16
07/07/1950,07/07/1950,45,39,14
06/04/1950,06/09/1950,36,46,17
05/02/1950,05/02/1950,40,37,22
04/28/1950,04/28/1950,39,47,13
02/24/1950,02/24/1950,35,47,17
01/06/1950,01/06/1950,44,41,13
09/28/1949,10/02/1949,49,34,16
09/28/1949,10/02/1949,47,34,18
06/09/1949,06/09/1949,56,27,15
04/30/1949,04/30/1949,50,31,18
03/04/1949,03/04/1949,56,26,17
01/05/1949,01/05/1949,67,18,14
06/16/1948,06/16/1948,38,45,15
05/28/1948,06/02/1948,38,45,16
04/07/1948,04/07/1948,36,49,14
11/28/1947,12/03/1947,53,32,14
09/10/1947,09/10/1947,55,27,17
07/04/1947,07/09/1947,59,26,13
06/18/1947,06/18/1947,55,31,13
05/23/1947,05/28/1947,64,23,12
04/23/1947,04/23/1947,57,24,17
03/26/1947,03/26/1947,63,21,15
03/14/1947,03/19/1947,58,22,19
01/15/1947,01/15/1947,49,37,13
11/13/1946,11/13/1946,34,52,13
10/21/1946,10/21/1946,27,56,16
09/11/1946,09/11/1946,33,51,15
06/12/1946,06/12/1946,45,42,12
05/29/1946,05/29/1946,45,42,12
03/27/1946,03/27/1946,50,33,16
02/27/1946,02/27/1946,48,38,12
01/03/1946,01/03/1946,63,22,14
10/31/1945,10/31/1945,75,13,11
10/03/1945,10/03/1945,80,8,10
08/22/1945,08/22/1945,91,2,5
05/29/1945,05/29/1945,86,2,10
